time,Year,Month,pr
1994-05-31,1994,5,208.8309432352915
1994-06-30,1994,6,163.79293153800776
1994-07-31,1994,7,120.24175531225701
1994-08-31,1994,8,118.34251516211165
1994-09-30,1994,9,350.82953912984647
1994-10-31,1994,10,287.4172472622899
1994-11-30,1994,11,260.1992524722622
1994-12-31,1994,12,111.61853604880494
1995-01-31,1995,1,147.04143427979326
1995-02-28,1995,2,117.79945934099857
1995-03-31,1995,3,153.61268520502506
1995-04-30,1995,4,249.26681412295716
1995-05-31,1995,5,228.90769858352374
1995-06-30,1995,6,150.55636596339593
1995-07-31,1995,7,75.08831105858647
1995-08-31,1995,8,129.36364774198458
1995-09-30,1995,9,245.69201197269962
1995-10-31,1995,10,341.32577361078376
1995-11-30,1995,11,302.8928733664239
1995-12-31,1995,12,147.0086429322466
1996-01-31,1996,1,62.74965952020649
1996-02-29,1996,2,168.28100865477862
1996-03-31,1996,3,125.87505329305978
1996-04-30,1996,4,187.03316526638116
1996-05-31,1996,5,274.38911199424155
1996-06-30,1996,6,208.25417178910652
1996-07-31,1996,7,134.55000989517438
1996-08-31,1996,8,202.6438786384765
1996-09-30,1996,9,375.0823231232924
1996-10-31,1996,10,293.5592546537661
1996-11-30,1996,11,201.98548203305864
1996-12-31,1996,12,146.29417862752484
1997-01-31,1997,1,171.76182410742481
1997-02-28,1997,2,192.83499648154898
1997-03-31,1997,3,195.67007462344307
1997-04-30,1997,4,298.2899961605658
1997-05-31,1997,5,282.75118375209973
1997-06-30,1997,6,206.5447066981362
1997-07-31,1997,7,116.2261404073495
1997-08-31,1997,8,260.8229728264145
1997-09-30,1997,9,298.58679466576183
1997-10-31,1997,10,347.3746324761561
1997-11-30,1997,11,254.59472279196376
1997-12-31,1997,12,112.25451281546074
1998-01-31,1998,1,155.44525763464924
1998-02-28,1998,2,141.58246665957674
1998-03-31,1998,3,241.55144195212256
1998-04-30,1998,4,340.6466382913236
1998-05-31,1998,5,285.98014160646716
1998-06-30,1998,6,147.5723292930709
1998-07-31,1998,7,100.58044014846315
1998-08-31,1998,8,157.00436552978104
1998-09-30,1998,9,323.0292247865057
1998-10-31,1998,10,300.76469575263104
1998-11-30,1998,11,197.6890060508638
1998-12-31,1998,12,140.8377661896476
1999-01-31,1999,1,73.12558653484803
1999-02-28,1999,2,101.22866898941486
1999-03-31,1999,3,233.20611842706458
1999-04-30,1999,4,256.3513554283727
1999-05-31,1999,5,242.3451293256007
1999-06-30,1999,6,137.6949578042935
1999-07-31,1999,7,60.49854634516204
1999-08-31,1999,8,148.1539788494972
1999-09-30,1999,9,185.94976875628367
1999-10-31,1999,10,312.30963951110675
1999-11-30,1999,11,276.09282572217694
1999-12-31,1999,12,173.91980612136857
2000-01-31,2000,1,125.02809130219462
2000-02-29,2000,2,164.11644959207405
2000-03-31,2000,3,192.8481166304289
2000-04-30,2000,4,252.98771595753217
2000-05-31,2000,5,173.00474526668532
