time,Year,Month,tas
1991-05-31,1991,5,18.173750346092323
1991-06-30,1991,6,17.310869560439603
1991-07-31,1991,7,17.60199042339245
1991-08-31,1991,8,17.894520727714117
1991-09-30,1991,9,18.04252261111799
1991-10-31,1991,10,17.782281229113316
1991-11-30,1991,11,17.46954726861625
1991-12-31,1991,12,17.740142448520462
1992-01-31,1992,1,17.490097123029305
1992-02-29,1992,2,17.849307278915152
1992-03-31,1992,3,18.20275796792523
1992-04-30,1992,4,18.016072796062833
1992-05-31,1992,5,17.48511495350621
1992-06-30,1992,6,17.49909940663622
1992-07-31,1992,7,18.034036169915318
1992-08-31,1992,8,17.621479757182012
1992-09-30,1992,9,17.901476066957233
1992-10-31,1992,10,17.710330280795073
1992-11-30,1992,11,17.501801854118025
1992-12-31,1992,12,18.062900865036504
1993-01-31,1993,1,17.96905314570202
1993-02-28,1993,2,18.157736087968946
1993-03-31,1993,3,18.502078106025273
1993-04-30,1993,4,18.37142292240115
1993-05-31,1993,5,18.16574955724003
1993-06-30,1993,6,17.81286983711461
1993-07-31,1993,7,18.246835920653716
1993-08-31,1993,8,18.24980587845214
1993-09-30,1993,9,18.99639093841222
1993-10-31,1993,10,17.782240922250942
1993-11-30,1993,11,17.921899442256663
1993-12-31,1993,12,18.57736669701053
1994-01-31,1994,1,18.565736217592455
1994-02-28,1994,2,18.81730470561058
1994-03-31,1994,3,18.380305446884186
1994-04-30,1994,4,19.66408647842723
1994-05-31,1994,5,19.10364936581295
1994-06-30,1994,6,18.48713032507911
1994-07-31,1994,7,18.59228358811055
1994-08-31,1994,8,19.021375926363717
1994-09-30,1994,9,18.482270186010457
1994-10-31,1994,10,18.36883454048363
1994-11-30,1994,11,18.03691281277769
1994-12-31,1994,12,18.645549603433487
1995-01-31,1995,1,18.477984971999085
1995-02-28,1995,2,19.1435240866172
1995-03-31,1995,3,19.515824587316704
1995-04-30,1995,4,18.982247927001687
1995-05-31,1995,5,18.653646658963538
1995-06-30,1995,6,18.556248345849802
1995-07-31,1995,7,17.811481479139875
1995-08-31,1995,8,18.435301303599143
1995-09-30,1995,9,18.532872187611925
1995-10-31,1995,10,17.939654254212222
1995-11-30,1995,11,17.714349052073544
1995-12-31,1995,12,17.945550734877386
1996-01-31,1996,1,18.507392003414253
1996-02-29,1996,2,18.424284850626155
1996-03-31,1996,3,19.55867506727627
1996-04-30,1996,4,19.164255646723664
1996-05-31,1996,5,18.272149577743296
1996-06-30,1996,6,17.62951540015403
1996-07-31,1996,7,17.681908755709827
1996-08-31,1996,8,17.82128716491602
1996-09-30,1996,9,17.65244658401003
1996-10-31,1996,10,17.855167355041285
1996-11-30,1996,11,16.904103436862506
1996-12-31,1996,12,17.568161706735786
1997-01-31,1997,1,17.315713600101706
1997-02-28,1997,2,17.884961593717673
1997-03-31,1997,3,18.211285959526695
1997-04-30,1997,4,18.23371684958533
1997-05-31,1997,5,17.936573849644493
1997-06-30,1997,6,17.495282350802597
1997-07-31,1997,7,16.512563544271565
1997-08-31,1997,8,17.92587567828646
1997-09-30,1997,9,17.790578173816584
1997-10-31,1997,10,17.406099931706567
1997-11-30,1997,11,17.57837004273591
1997-12-31,1997,12,17.669482526402135
1998-01-31,1998,1,17.54694972682535
1998-02-28,1998,2,18.592455048730205
1998-03-31,1998,3,18.719120280458736
