time,Year,Month,pr
2014-10-31,2014,10,316.8953139334917
2014-11-30,2014,11,338.31942323595285
2014-12-31,2014,12,130.7568646967411
2015-01-31,2015,1,63.740209490060806
2015-02-28,2015,2,160.9575156122446
2015-03-31,2015,3,97.33451530337383
2015-04-30,2015,4,339.31905571371317
2015-05-31,2015,5,141.22704025357962
2015-06-30,2015,6,188.77659626305103
2015-07-31,2015,7,141.98518339544535
2015-08-31,2015,8,334.8623282276094
2015-09-30,2015,9,332.1089409291744
2015-10-31,2015,10,378.49723789840937
2015-11-30,2015,11,334.364596568048
2015-12-31,2015,12,91.93548252806067
2016-01-31,2016,1,20.352167822420597
2016-02-29,2016,2,104.86440807580948
2016-03-31,2016,3,179.87134382128716
2016-04-30,2016,4,167.79794823378325
2016-05-31,2016,5,206.44216630607843
2016-06-30,2016,6,139.94525279849768
2016-07-31,2016,7,73.62748235464096
2016-08-31,2016,8,203.91493700444698
2016-09-30,2016,9,331.01665154099464
2016-10-31,2016,10,325.89106829836965
2016-11-30,2016,11,207.86553667858243
2016-12-31,2016,12,94.61872084066272
2017-01-31,2017,1,123.51987920701504
2017-02-28,2017,2,130.70623632520437
2017-03-31,2017,3,215.5001739040017
2017-04-30,2017,4,232.52878803759813
2017-05-31,2017,5,178.73371168971062
2017-06-30,2017,6,103.94317740574479
2017-07-31,2017,7,90.20679797977209
2017-08-31,2017,8,106.96511082351208
2017-09-30,2017,9,321.77956625819206
2017-10-31,2017,10,239.9078769609332
2017-11-30,2017,11,215.85168074816465
2017-12-31,2017,12,171.05864770710468
2018-01-31,2018,1,102.94559178873897
2018-02-28,2018,2,139.05438808724284
2018-03-31,2018,3,200.0088930130005
2018-04-30,2018,4,133.26566722244024
2018-05-31,2018,5,170.68303367123008
2018-06-30,2018,6,214.7238504141569
2018-07-31,2018,7,92.14186090976
2018-08-31,2018,8,173.29193372279406
2018-09-30,2018,9,152.45605800300837
2018-10-31,2018,10,365.2395246550441
2018-11-30,2018,11,196.7210764065385
2018-12-31,2018,12,151.53920017182827
2019-01-31,2019,1,62.01536972075727
2019-02-28,2019,2,85.7321466319263
2019-03-31,2019,3,249.97412441298366
2019-04-30,2019,4,187.30393275618553
2019-05-31,2019,5,162.82560043036938
2019-06-30,2019,6,111.86058316379786
2019-07-31,2019,7,80.34344874322414
2019-08-31,2019,8,69.46435868740082
2019-09-30,2019,9,157.0082863792777
2019-10-31,2019,10,254.018291272223
2019-11-30,2019,11,275.247772783041
2019-12-31,2019,12,194.68258917331696
2020-01-31,2020,1,66.25466980040086
2020-02-29,2020,2,180.96314538270235
2020-03-31,2020,3,231.69690258800983
2020-04-30,2020,4,114.850870706141
2020-05-31,2020,5,219.49681285768747
2020-06-30,2020,6,206.14187624305487
2020-07-31,2020,7,89.67827036976814
2020-08-31,2020,8,122.38785456866026
2020-09-30,2020,9,181.55192714184523
2020-10-31,2020,10,344.6675430983305
2020-11-30,2020,11,250.04880968481302
2020-12-31,2020,12,130.87225081399083
2021-01-31,2021,1,119.73850261420012
2021-02-28,2021,2,118.14134521409869
2021-03-31,2021,3,131.88061388209462
2021-04-30,2021,4,153.5752834752202
2021-05-31,2021,5,112.6679515466094
2021-06-30,2021,6,94.15287896990776
2021-07-31,2021,7,98.26307594776154
2021-08-31,2021,8,163.90467323362827
2021-09-30,2021,9,305.00799156725407
2021-10-31,2021,10,337.5799532979727
2021-11-30,2021,11,229.90318620577455
2021-12-31,2021,12,132.3471749201417
2022-01-31,2022,1,113.25811631977558
2022-02-28,2022,2,101.69371012598276
2022-03-31,2022,3,127.66071623191237
2022-04-30,2022,4,252.7001330628991
2022-05-31,2022,5,125.00746166333556
2022-06-30,2022,6,153.51637210696936
2022-07-31,2022,7,114.16388489305973
2022-08-31,2022,8,146.10899426043034
2022-09-30,2022,9,215.5991549603641
