time,Year,Month,pr
2000-08-31,2000,8,28.077782
2000-09-30,2000,9,150.59462
2000-10-31,2000,10,123.87802
2000-11-30,2000,11,155.68867
2000-12-31,2000,12,144.37828
2001-01-31,2001,1,98.227104
2001-02-28,2001,2,128.27425
2001-03-31,2001,3,209.77486
2001-04-30,2001,4,69.869774
2001-05-31,2001,5,110.32519
2001-06-30,2001,6,44.186966
2001-07-31,2001,7,30.295387
2001-08-31,2001,8,17.546743
2001-09-30,2001,9,130.67395
2001-10-31,2001,10,160.47491
2001-11-30,2001,11,181.83449
2001-12-31,2001,12,211.09424
2002-01-31,2002,1,107.74589
2002-02-28,2002,2,119.865135
2002-03-31,2002,3,171.44102
2002-04-30,2002,4,276.6081
2002-05-31,2002,5,117.523636
2002-06-30,2002,6,54.53023
2002-07-31,2002,7,34.751816
2002-08-31,2002,8,34.77965
2002-09-30,2002,9,67.17721
2002-10-31,2002,10,145.25128
2002-11-30,2002,11,127.94666
2002-12-31,2002,12,126.52999
2003-01-31,2003,1,89.06613
2003-02-28,2003,2,135.79912
2003-03-31,2003,3,197.18394
2003-04-30,2003,4,185.8484
2003-05-31,2003,5,46.937393
2003-06-30,2003,6,62.771053
2003-07-31,2003,7,42.963535
2003-08-31,2003,8,27.313917
2003-09-30,2003,9,99.674034
2003-10-31,2003,10,233.01581
2003-11-30,2003,11,166.003
2003-12-31,2003,12,148.47806
2004-01-31,2004,1,180.68893
2004-02-29,2004,2,107.96568
2004-03-31,2004,3,89.76932
2004-04-30,2004,4,181.34702
2004-05-31,2004,5,138.22258
2004-06-30,2004,6,18.729015
2004-07-31,2004,7,48.967228
2004-08-31,2004,8,18.844202
2004-09-30,2004,9,93.83577
2004-10-31,2004,10,233.50504
2004-11-30,2004,11,195.96631
2004-12-31,2004,12,174.13153
2005-01-31,2005,1,168.30959
2005-02-28,2005,2,157.87532
2005-03-31,2005,3,177.07307
2005-04-30,2005,4,163.64838
2005-05-31,2005,5,159.28922
2005-06-30,2005,6,31.82183
2005-07-31,2005,7,60.474888
2005-08-31,2005,8,47.563686
2005-09-30,2005,9,74.986084
2005-10-31,2005,10,233.5779
2005-11-30,2005,11,204.76682
2005-12-31,2005,12,237.76776
2006-01-31,2006,1,168.38374
2006-02-28,2006,2,192.42993
2006-03-31,2006,3,218.65164
2006-04-30,2006,4,226.37022
2006-05-31,2006,5,142.4897
2006-06-30,2006,6,63.687145
2006-07-31,2006,7,33.394363
2006-08-31,2006,8,23.152708
2006-09-30,2006,9,50.0571
2006-10-31,2006,10,209.78358
2006-11-30,2006,11,212.30505
2006-12-31,2006,12,173.92213
2007-01-31,2007,1,110.20829
2007-02-28,2007,2,115.5486
2007-03-31,2007,3,207.557
2007-04-30,2007,4,181.90233
2007-05-31,2007,5,140.11679
2007-06-30,2007,6,29.403969
2007-07-31,2007,7,55.501667
2007-08-31,2007,8,65.465645
2007-09-30,2007,9,48.931747
2007-10-31,2007,10,244.11841
2007-11-30,2007,11,161.0325
2007-12-31,2007,12,210.87827
2008-01-31,2008,1,146.55914
2008-02-29,2008,2,193.24982
2008-03-31,2008,3,229.17087
2008-04-30,2008,4,200.66948
2008-05-31,2008,5,175.05547
2008-06-30,2008,6,76.79112
2008-07-31,2008,7,39.70541
2008-08-31,2008,8,96.58484
2008-09-30,2008,9,61.922237
2008-10-31,2008,10,172.77469
2008-11-30,2008,11,302.06314
2008-12-31,2008,12,226.71954
2009-01-31,2009,1,205.52327
