"","V1"
"306",3.6259189791801
"307",4.73732431212658
"308",9.1656241849467
"309",9.85681068017456
"310",3.38454637296774
"311",12.7353523654025
"312",7.97302737728503
"313",11.4489688706275
"314",6.66814645174811
"315",8.70590888512408
"316",10.5172849521677
"317",4.47548090234407
"318",1.74415580243218
"319",4.3565425042985
"320",5.49865569448648
"321",1.2241213701967
"322",0
"323",4.15784214707437
"324",8.78758206363723
"325",11.6596881274776
"326",8.27880392186322
"327",7.22504629706199
"328",0
"329",6.93042147259832
"330",3.68186018728235
"331",5.7794389591664
"332",2.99762665100082
"333",5.13935567697797
"334",5.38977375809266
"335",9.23114894503429
"336",14.8323271741575
"337",9.40812442013281
"338",7.17664737704148
"339",7.58372277140624
"340",6.31721746032078
"341",24.6154273366814
"342",7.05178601545787
"343",25.4950587056286
"344",4.20484325678218
"345",16.0707359615634
"346",3.8205003028673
"347",9.30113564022898
"348",9.3093816815664
"349",4.0435087786944
"350",0
"351",13.4324963626099
"352",6.09416805592029
"353",2.64025745724132
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",2.30019674153574
"362",2.28733579547922
"363",2.1785029010597
"364",0
"365",0
"366",0
"367",0
"368",0
"369",3.24860362467315
"370",11.1541272288699
"371",7.24085191011003
"372",2.75149189994048
"373",2.14648896920341
"374",0
"375",0
"376",0
"377",2.6848203532939
"378",8.24830866887332
"379",4.24767032050951
"380",0
"381",0
"382",10.9076089168111
"383",0
"384",0
"385",4.1467824496063
"386",3.83148939921548
"387",0
"388",0
"389",2.44113691339102
"390",3.42290709641418
"391",2.80720686408102
"392",4.35378848711942
"393",0
"394",3.26105286732499
"395",0
"396",0
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0
"403",0
"404",0
"405",0
"406",0
"407",0
"408",0
"409",0
"410",0
"411",0
"412",5.55615358013356
"413",20.4691719047775
"414",12.4416699047494
"415",18.1775400168846
"416",7.96114588881715
"417",17.3103216840702
"418",4.94096809441299
"419",0
"420",0
"421",4.4972272742123
"422",5.49541999068197
"423",0
"424",0
"425",0
"426",5.41348871306225
"427",3.22373161191048
"428",3.34828544109276
"429",0
"430",0
"431",7.9509463235221
"432",14.4510095202744
"433",17.4977560059476
"434",9.4074866743649
"435",3.80418303757467
"436",4.42998317664691
"437",0
"438",0
"439",2.3530464083741
"440",11.9181052836753
"441",3.87441052814858
"442",10.4974751137396
"443",9.33197459863203
"444",5.70496624469636
"445",2.22031701186576
"446",7.59771291224358
"447",0
"448",1.80832194522044
"449",1.37701880944716
"450",0
"451",7.86846084214511
"452",9.26594390300755
"453",0
"454",0
"455",5.44210614217494
"456",10.3235911820905
"457",15.6485865699932
"458",3.49336322616614
"459",2.62406551543152
"460",9.93547227453259
"461",7.1370464778332
"462",0
"463",2.3853735880232
"464",2.19085339254975
"465",0
"466",0
"467",1.21791172090234
"468",0
"469",24.1577025595976
"470",10.0136976115402
"471",6.63994806368226
"472",8.54446315022097
"473",5.90972338803682
"474",3.94103308380982
"475",2.26556974328804
"476",1.66305558155553
"477",0
"478",0
"479",5.30828260893023
"480",0
"481",4.36401824987454
"482",10.6357273918167
"483",9.62956493351493
"484",8.2996241336252
"485",3.65899680340033
"486",2.1272104211752
"487",1.59888753555641
"488",0
"489",0
"490",1.11102992457529
"491",3.96170260134235
"492",4.43627518364087
"493",1.95886794951806
"494",7.75142341436673
"495",12.1533661587769
"496",12.6357662191456
"497",11.0960467526492
"498",6.27590469488978
"499",4.51227573061497
"500",6.61700516683511
"501",4.99713328963124
"502",10.9282294504322
"503",7.43175827777388
"504",6.66401446005053
"505",12.0168042409024
"506",14.7264481994003
"507",4.27200062448364
"508",6.1673709876941
"509",1.77477800012829
"510",8.27607373055388
"511",9.14244197892539
"512",11.5683809174988
"513",27.1860754346658
"514",18.8056719727509
"515",2.25607777547
"516",3.32583608871437
"517",1.9817265110521
"518",4.39320579786705
"519",1.84626285824891
"520",2.64130236746692
"521",1.57128374322792
"522",0
"523",0
"524",1.40445889985084
"525",2.6888123142429
"526",4.70902443071349
"527",0
"528",3.04292855926933
"529",1.72132245996873
"530",1.1054876412513
"531",1.55162021676724
"532",4.99695539529947
"533",4.66568201263291
"534",2.93769315828117
"535",1.82262000738405
"536",1.13386118861937
"537",0
"538",1.00924759503116
"539",1.10210636803286
"540",3.59228406765525
"541",7.62195623816323
"542",4.24105849620548
"543",7.74843244466923
"544",1.41020229932196
